# bin	classification	reason	lineage	lineage scores (f: 0.30)
rosella_refined_0_52.fna	taxid assigned	based on 387/400 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetovibrionaceae;g__Magnetovibrio;s__Magnetovibrio sp024653965	1.00;0.99;0.98;0.97;0.93;0.89;0.59;0.31
rosella_refined_0_520.fna	taxid assigned	based on 208/233 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales	1.00;0.97;0.62;0.55;0.39
rosella_refined_0_53.fna	taxid assigned	based on 1144/1228 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales	1.00;1.00;0.89;0.76;0.75
rosella_refined_0_6.fna	taxid assigned	based on 245/254 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiohalomonadales;f__Thiohalomonadaceae*	1.00;1.00;0.94;0.93;0.44;0.44
rosella_refined_0_7.fna	taxid assigned	based on 142/264 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466	1.00;0.90;0.80;0.77;0.75;0.71;0.39
rosella_refined_0_70.fna	taxid assigned	based on 430/463 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae	1.00;0.98;0.87;0.77;0.76;0.33
rosella_refined_0_8.fna	taxid assigned	based on 1515/1601 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466	1.00;0.99;0.98;0.97;0.86;0.79;0.48
rosella_refined_0_80.fna	taxid assigned	based on 174/189 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales	1.00;0.98;0.79;0.67;0.65
rosella_refined_0_81.fna	taxid assigned	based on 1876/2158 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.78;0.77;0.76;0.76
rosella_refined_0_82.fna	taxid assigned	based on 168/181 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae	1.00;1.00;0.89;0.74;0.74;0.36
rosella_refined_0_83.fna	taxid assigned	based on 436/445 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiohalomonadales;f__Thiohalomonadaceae*	1.00;1.00;0.95;0.93;0.49;0.49
rosella_refined_0_84.fna	taxid assigned	based on 200/235 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	1.00;0.93;0.70;0.67
rosella_refined_0_85.fna	taxid assigned	based on 293/293 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	1.00;1.00;0.98;0.98;0.96;0.96;0.59
rosella_refined_0_86.fna	taxid assigned	based on 193/202 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	1.00;1.00;0.96;0.96;0.94;0.94;0.34
rosella_refined_0_87.fna	taxid assigned	based on 289/290 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	1.00;1.00;0.95;0.95;0.94;0.94;0.53
rosella_refined_0_89.fna	taxid assigned	based on 258/274 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	1.00;0.95;0.89;0.88;0.85;0.85;0.52
rosella_refined_0_9.fna	taxid assigned	based on 1632/1685 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas	1.00;1.00;0.98;0.96;0.96;0.95;0.77
rosella_refined_0_90.fna	taxid assigned	based on 261/267 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae*	1.00;0.93;0.90;0.90;0.77;0.77
rosella_refined_0_91.fna	taxid assigned	based on 1030/1048 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	1.00;1.00;0.94;0.94;0.92;0.92;0.42
rosella_refined_0_92.fna	taxid assigned (1/2)	based on 273/332 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	1.00;0.40;0.35;0.34;0.34
rosella_refined_0_92.fna	taxid assigned (2/2)	based on 273/332 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.58;0.58;0.58;0.58
rosella_refined_0_93.fna	taxid assigned	based on 310/324 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466	1.00;1.00;0.97;0.97;0.89;0.85;0.41
rosella_refined_0_94.fna	taxid assigned	based on 182/212 ORFs	root;d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__Salinibacter sp913056185	1.00;1.00;0.92;0.91;0.91;0.90;0.88;0.74
rosella_refined_0_95.fna	taxid assigned	based on 321/325 ORFs	root;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	1.00;0.99;0.91;0.91;0.90;0.90;0.37
rosella_refined_0_96.fna	taxid assigned	based on 227/282 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales	1.00;0.70;0.67;0.67;0.67
rosella_refined_0_97.fna	taxid assigned	based on 246/258 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;0.99;0.99;0.99;0.99;0.49
rosella_refined_0_98.fna	taxid assigned	based on 728/759 ORFs	root;d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae	1.00;0.71;0.71;0.71;0.71;0.31
rosella_refined_0_99.fna	taxid assigned	based on 239/246 ORFs	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466	1.00;0.99;0.98;0.96;0.88;0.82;0.54
